id,wall_type,roof_type,floor_type,flood_depth_m,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
1243,Tin,Tin,Cement,0.152,2743,26.3245428,90.9183535,6,20,1243,Rupakuchi,280_20,commercial,6,20,120,R5B Tin House,650.0,78000.0,8.0,0.3425,45.0116,0.152,0.0207936,0.5265837325,0.002880464,1621.9008,41073.531135,224.67619200000001
1222,Tin,Tin,Cement,0.61,2912,26.3223582,90.9197022,10,8,1222,Rupakuchi,280_20,commercial,10,8,80,R5B Tin House,650.0,52000.0,8.0,0.3424,45.0205,0.61,0.04995716,0.5264216407999999,0.00288082,2597.77232,27373.925321599992,149.80264
1223,Tin,Tin,Cement,0.914,786,26.3236029,90.9213792,10,7,1223,Rupakuchi,280_20,commercial,10,7,70,R5B Tin House,650.0,45500.0,8.0,0.3423,45.0397,0.914,0.081652726,0.5262595491,0.0028815880000000005,3715.199033,23944.809484049998,131.112254
1224,Tin,Tin,Cement,0.914,1026,26.3234742,90.9214535,10,7,1224,Rupakuchi,280_20,commercial,10,7,70,R5B Tin House,650.0,45500.0,8.0,0.3423,45.0414,0.914,0.081652726,0.5262595491,0.0028816560000000002,3715.199033,23944.809484049998,131.115348
1218,Tin,Tin,Cement,0.914,688,26.3219393,90.9215135,10,8,1218,Rupakuchi,280_20,commercial,10,8,80,R5B Tin House,650.0,52000.0,8.0,0.3423,45.0455,0.914,0.081652726,0.5262595491,0.00288182,4245.941752,27365.4965532,149.85464000000002
1219,Tin,Tin,Cement,0.61,1131,26.322782,90.9240545,20,10,1219,Rupakuchi,280_20,commercial,20,10,200,R5B Tin House,650.0,130000.0,8.0,0.3423,45.0628,0.61,0.04995716,0.5262595491,0.0028825120000000003,6494.4308,68413.74138299999,374.72656000000006
1226,Tin,Tin,Cement,0.914,2977,26.3177455,90.9188139,15,9,1226,Rupakuchi,280_20,commercial,15,9,135,R5B Tin House,650.0,87750.0,8.0,0.3425,45.0777,0.914,0.081652726,0.5265837325,0.002883108,7165.0267065,46207.722526875004,252.992727
1207,Tin,Tin,Cement,1.829,553,26.3203288,90.9245884,15,12,1207,Rupakuchi,280_20,commercial,15,12,180,R5B Tin House,650.0,117000.0,8.0,0.3422,45.0961,1.829,0.42503553699999996,0.5260974573999999,0.002883844,49729.157828999996,61553.40251579999,337.409748
1209,Tin,Tin,Cement,0.914,459,26.318926,90.9311419,20,15,1209,Rupakuchi,280_20,commercial,20,15,300,R5B Tin House,650.0,195000.0,8.0,0.342,45.1055,0.914,0.081652726,0.525773274,0.0028842200000000003,15922.28157,102525.78842999999,562.4229
1203,Tin,Tin,Cement,1.524,1629,26.3194801,90.9248613,25,8,1203,Rupakuchi,280_20,commercial,25,8,200,R5B Tin House,650.0,130000.0,8.0,0.3422,45.107,1.524,0.265702106,0.5260974573999999,0.00288428,34541.273779999996,68392.66946199999,374.9564
