id,wall_type,roof_type,floor_type,building_area_sqft,flood_class,flood_depth_m,point_id,latitude,longitude,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
41797,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,2949,26.3230282,90.9173067,41797,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0019,0.61,0.05,0.525,0.0,19500.0,204750.0,0.0
41800,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.914,2723,26.323226,90.9173792,41800,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0022,0.914,0.08,0.525,0.0,31200.0,204750.0,0.0
41795,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,2700,26.3228967,90.9177875,41795,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0039,0.61,0.05,0.525,0.0,19500.0,204750.0,0.0
42351,Tin,Tin,Cement,600.0,0.3 - 0.5 m,0.305,788,26.3235971,90.9178247,42351,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0054,0.305,0.04,0.525,0.0,15600.0,204750.0,0.0
41826,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,2952,26.3221948,90.9182927,41826,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0071,0.61,0.05,0.525,0.0,19500.0,204750.0,0.0
41787,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,2804,26.322158,90.9182863,41787,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0072,0.61,0.05,0.525,0.0,19500.0,204750.0,0.0
41827,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.914,929,26.322558,90.9184077,41827,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0072,0.914,0.08,0.525,0.0,31200.0,204750.0,0.0
41831,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.762,2817,26.3210793,90.9174153,41831,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0076,0.762,0.06,0.525,0.0,23400.0,204750.0,0.0
42350,Tin,Tin,Cement,600.0,0.3 - 0.5 m,0.305,2731,26.3241363,90.9181585,42350,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3425,45.0089,0.305,0.04,0.525,0.0,15600.0,204750.0,0.0
41629,Tin,Tin,Cement,600.0,>1.0 m,1.219,2929,26.3230171,90.9190004,41629,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0129,1.219,0.15,0.5247999999999999,0.0,58500.0,204671.99999999997,0.0
42348,Tin,Tin,Cement,600.0,0.3 m,0.152,956,26.3249424,90.9186667,42348,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0162,0.152,0.02,0.5247999999999999,0.0,7800.0,204671.99999999997,0.0
42347,Tin,Tin,Cement,600.0,0.3 m,0.152,948,26.3250024,90.9187424,42347,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.017,0.152,0.02,0.5247999999999999,0.0,7800.0,204671.99999999997,0.0
41615,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,2926,26.322632,90.919624,41615,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.019,0.61,0.05,0.5247999999999999,0.0,19500.0,204671.99999999997,0.0
41620,Tin,Tin,Cement,600.0,>1.0 m,1.524,799,26.3239525,90.9196067,41620,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0211,1.524,0.264,0.5247999999999999,0.0,102960.0,204671.99999999997,0.0
41976,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.914,2918,26.3222551,90.9198233,41976,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0222,0.914,0.08,0.5247999999999999,0.0,31200.0,204671.99999999997,0.0
41618,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.914,785,26.3234561,90.9199207,41618,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0227,0.914,0.08,0.5247999999999999,0.0,31200.0,204671.99999999997,0.0
42417,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.61,696,26.3222609,90.9199992,42417,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0243,0.61,0.05,0.5247999999999999,0.0,19500.0,204671.99999999997,0.0
41519,Tin,Tin,Cement,600.0,>1.0 m,1.524,736,26.3227184,90.920126,41519,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0248,1.524,0.264,0.5247999999999999,0.0,102960.0,204671.99999999997,0.0
41398,Tin,Tin,Cement,600.0,>1.0 m,1.829,978,26.3230897,90.9201924,41398,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0257,1.829,0.4289999999999999,0.5247999999999999,0.0,167309.99999999994,204671.99999999997,0.0
41401,Tin,Tin,Cement,600.0,0.5 - 1.0 m,0.914,2908,26.322658,90.9203081,41401,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0271,0.914,0.08,0.5247999999999999,0.0,31200.0,204671.99999999997,0.0
41394,Tin,Tin,Cement,600.0,>1.0 m,1.524,802,26.324108,90.9201982,41394,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0273,1.524,0.264,0.5247999999999999,0.0,102960.0,204671.99999999997,0.0
41523,Tin,Tin,Cement,600.0,>1.0 m,1.524,790,26.3236398,90.9203118,41523,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0274,1.524,0.264,0.5247999999999999,0.0,102960.0,204671.99999999997,0.0
41524,Tin,Tin,Cement,600.0,>1.0 m,1.829,808,26.3243133,90.920222,41524,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0279,1.829,0.4289999999999999,0.5247999999999999,0.0,167309.99999999994,204671.99999999997,0.0
41565,Tin,Tin,Cement,600.0,>1.0 m,1.219,997,26.3228195,90.9205523,41565,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0302,1.219,0.15,0.5247999999999999,0.0,58500.0,204671.99999999997,0.0
41575,Tin,Tin,Cement,600.0,>1.0 m,1.219,1030,26.3236648,90.9209108,41575,Rupakuchi,280_20,household,,,R5B Tin House,650.0,390000.0,8.0,0.3424,45.0338,1.219,0.15,0.5247999999999999,0.0,58500.0,204671.99999999997,0.0
