Depth,Damage,Type,,,,,,,,,,
0.00,0.00,1,,,,,,,,,,
0.01,0.00,1,,,,,,,,,,
0.02,0.00,1,,,,,,,,,,
0.03,0.00,1,,,,,,,,,,
0.04,0.00,1,,,,,,,,,,
0.05,0.00,1,,,,,,,,,,
0.06,0.00,1,,,,,,,,,,
0.07,0.00,1,,,,,,,,,,
0.08,0.00,1,,,,,,,,,,
0.09,0.00,1,,,,,,,,,,
0.10,0.00,1,,,,,,,,,,
0.11,0.00,1,,,,,,,,,,
0.12,0.00,1,,,,,,,,,,
0.13,0.00,1,,,,,,,,,,
0.14,0.00,1,,,,,,,,,,
0.15,0.00,1,,,,,,,,,,
0.16,0.00,1,,,,,,,,,,
0.17,0.00,1,,,,,,,,,,
0.18,0.00,1,,,,,,,,,,
0.19,0.00,1,,,,,,,,,,
0.20,0.00,1,,,,,,,,,,
0.21,0.00,1,,,,,,,,,,
0.22,0.00,1,,,,,,,,,,
0.23,0.01,1,,,,,,,,,,
0.24,0.02,1,,,,,,,,,,
0.25,0.04,1,,,,,,,,,,
0.26,0.05,1,,,,,,,,,,
0.27,0.06,1,,,,,,,,,,
0.28,0.08,1,,,,,,,,,,
0.29,0.09,1,,,,,,,,,,
0.30,0.11,1,,,,,,,,,,
0.31,0.12,1,,,,,,,,,,
0.32,0.13,1,,,,,,,,,,
0.33,0.15,1,,,,,,,,,,
0.34,0.16,1,,,,,,,,,,
0.35,0.17,1,,,,,,,,,,
0.36,0.19,1,,,,,,,,,,
0.37,0.20,1,,,,,,,,,,
0.38,0.21,1,,,,,,,,,,
0.39,0.23,1,,,,,,,,,,
0.40,0.24,1,,,,,,,,,,
0.41,0.25,1,,,,,,,,,,
0.42,0.26,1,,,,,,,,,,
0.43,0.28,1,,,,,,,,,,
0.44,0.29,1,,,,,,,,,,
0.45,0.31,1,,,,,,,,,,
0.46,0.32,1,,,,,,,,,,
0.47,0.33,1,,,,,,,,,,
0.48,0.35,1,,,,,,,,,,
0.49,0.36,1,,,,,,,,,,
